Code,Name,LongName,Market,Sector,SubSector,Price,FiftyTwoWeek,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,MarketCapInMillion
6351,AMWAY [s],AMWAY (M) HOLDINGS BHD,Main Market,Consumer Products & Services,Retailers,4.720000,4.520-5.620,48,27.540000,27.500000,1.550000,17.140000,5.830000,17.770000,3.050000,775.900000
0335,CARLORINO [s],CARLO RINO GROUP BERHAD,Ace Market,Consumer Products & Services,Personal Goods,0.215000,0.210-0.350,1,2.900000,1.500000,0.163000,7.410000,6.980000,17.760000,1.320000,105.080000
5325,WELLCHIP,WELL CHIP GROUP BERHAD,Main Market,Financial Services,Other Financials,1.260000,0.935-1.780,2,14.360000,4.000000,0.810000,8.780000,3.170000,17.730000,1.560000,756.000000
5070,PRTASCO [s],PROTASCO BERHAD,Main Market,Construction,Construction,0.190000,0.180-0.305,6,14.200000,0.000000,0.811000,1.340000,0.000000,17.510000,0.230000,94.120000
6139,TAKAFUL [s],SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,Main Market,Financial Services,Insurance,3.300000,3.010-3.670,10,44.110000,18.500000,2.590000,7.480000,5.610000,17.030000,1.270000,2878.200000
5301,CTOS [s],CTOS DIGITAL BERHAD,Main Market,Technology,Digital Services,0.625000,0.620-1.190,57,4.580000,2.700000,0.270000,13.650000,4.320000,16.960000,2.310000,1431.580000
5162,VSTECS [s],VSTECS BERHAD,Main Market,Technology,Technology Equipment,4.680000,2.460-5.030,2,27.270000,10.800000,1.610000,17.160000,2.310000,16.940000,2.910000,1684.800000
5306,FFB [s],FARM FRESH BERHAD,Main Market,Consumer Products & Services,Food & Beverages,2.500000,1.600-3.030,151,6.900000,2.000000,0.410000,36.220000,0.800000,16.830000,6.100000,4710.910000
0278,EDELTEQ [s],EDELTEQ HOLDINGS BERHAD,Ace Market,Technology,Technology Equipment,0.330000,0.170-0.565,8,2.330000,0.200000,0.140000,14.180000,0.610000,16.620000,2.360000,193.310000
0212,SDS [s],SDS GROUP BERHAD,Main Market,Consumer Products & Services,Food & Beverages,0.445000,0.435-0.960,4,5.150000,0.750000,0.310000,8.640000,1.690000,16.610000,1.440000,243.050000
0258,AGMO [s],AGMO HOLDINGS BERHAD,Ace Market,Technology,Software,0.300000,0.290-0.560,1,2.830000,1.500000,0.171000,10.610000,5.000000,16.580000,1.760000,97.500000
7115,SKBSHUT [s],SKB SHUTTERS CORPORATION BERHAD,Main Market,Industrial Products & Services,Building Materials,0.775000,0.595-1.020,1,15.920000,6.500000,0.970000,4.870000,8.390000,16.410000,0.800000,150.740000
0284,GLXT [s],GLOSTREXT BERHAD,Ace Market,Industrial Products & Services,Industrial Services,0.200000,0.170-0.260,2,2.460000,1.000000,0.150000,8.150000,5.000000,16.370000,1.330000,83.410000
4863,TM [s],TELEKOM MALAYSIA BERHAD,Main Market,Telecommunications & Media,Telecommunications Service Providers,7.340000,6.190-8.300,34,44.640000,31.000000,2.759000,16.440000,4.220000,16.180000,2.660000,28169.000000
5332,REACHTEN [s],REACH TEN HOLDINGS BERHAD,Main Market,Telecommunications & Media,Telecommunications Service Providers,0.420000,0.410-0.605,1,3.550000,2.000000,0.220000,11.820000,4.760000,16.150000,1.910000,420.000000
0351,LSH [s],LIM SEONG HAI CAPITAL BERHAD,Ace Market,Construction,Construction,1.800000,0.740-2.560,3,12.920000,3.890000,0.800000,13.930000,2.160000,16.150000,2.250000,1509.050000
0340,NORTHERN,NORTHERN SOLAR HOLDINGS BERHAD,Ace Market,Energy,Renewable Energy,0.625000,0.445-0.810,167,3.220000,0.000000,0.200000,19.430000,0.000000,16.080000,3.120000,247.250000
0388,SEMICO,SEMICO CAPITAL BERHAD,Ace Market,Consumer Products & Services,Consumer Services,0.515000,0.290-0.520,41,1.730000,0.500000,0.054000,29.830000,0.970000,15.960000,9.520000,185.400000
0225,SCGBHD [s],SOUTHERN CABLE GROUP BERHAD,Main Market,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.860000,0.875-2.520,23,11.630000,1.600000,0.730000,16.000000,0.860000,15.920000,2.550000,2103.000000
0192,INTA [s],INTA BINA GROUP BERHAD,Main Market,Construction,Construction,0.375000,0.345-0.515,5,6.460000,2.500000,0.410000,5.810000,6.670000,15.750000,0.910000,233.920000
7018,CME [s],CME GROUP BERHAD,Main Market,Industrial Products & Services,Industrial Services,0.015000,0.005-0.015,5,0.740000,0.000000,0.047000,2.030000,0.000000,15.710000,0.320000,18.140000
0296,HEGROUP [s],HE GROUP BERHAD,Main Market,Industrial Products & Services,Industrial Services,0.290000,0.200-0.460,1,2.510000,1.000000,0.160000,11.570000,3.450000,15.660000,1.810000,127.600000
03024,CETECH [s],CE TECHNOLOGY BERHAD,Leap Market,Industrial Products & Services,Industrial Services,0.790000,0.750-0.790,0,5.640000,0.400000,0.360000,14.020000,0.510000,15.660000,2.190000,273.430000
5328,LWSABAH [s],LIFE WATER BERHAD,Main Market,Consumer Products & Services,Food & Beverages,1.070000,0.745-1.690,32,7.120000,1.590000,0.460000,15.030000,1.490000,15.480000,2.330000,506.300000
5142,WASCO [s],WASCO BERHAD,Main Market,Energy,"Energy, Infrastructure, Equipment & Services",1.100000,0.780-1.160,84,20.720000,7.000000,1.340000,5.310000,6.360000,15.460000,0.820000,852.380000
8192,MERCURY [s],MERCURY INDUSTRIES BERHAD,Main Market,Construction,Construction,0.650000,0.580-0.965,0,11.730000,0.000000,0.760000,5.540000,0.000000,15.440000,0.860000,45.970000
0273,VLB [s],VESTLAND BERHAD,Ace Market,Construction,Construction,0.560000,0.400-0.565,21,3.710000,0.000000,0.240000,15.090000,0.000000,15.440000,2.330000,528.810000
0331,CRPMATE [s],CROPMATE BERHAD,Ace Market,Industrial Products & Services,Chemicals,0.190000,0.155-0.200,5,1.990000,0.500000,0.130000,9.570000,2.630000,15.270000,1.460000,140.220000
1163,ALLIANZ,ALLIANZ MALAYSIA BERHAD,Main Market,Financial Services,Insurance,20.760000,16.500-23.300,1,519.610000,89.500000,34.120000,4.000000,4.310000,15.230000,0.610000,3825.230000
8621,LPI,LPI CAPITAL BHD,Main Market,Financial Services,Insurance,14.300000,13.260-15.720,1,92.320000,80.000000,6.164000,15.490000,5.590000,14.980000,2.320000,5696.870000
0002,KOTRA [s],KOTRA INDUSTRIES BERHAD,Main Market,Health Care,Pharmaceuticals,4.080000,3.850-4.490,314,28.300000,25.500000,1.890000,14.420000,6.250000,14.970000,2.160000,605.120000
5080,POHKONG [s],POH KONG HOLDINGS BERHAD,Main Market,Consumer Products & Services,Retailers,1.100000,0.930-1.320,2,38.370000,3.000000,2.580000,2.870000,2.730000,14.870000,0.430000,451.390000
8907,EG [s],EG INDUSTRIES BERHAD,Main Market,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.100000,0.830-1.530,73,10.380000,0.500000,0.700000,10.590000,0.450000,14.830000,1.570000,1029.160000
0233,PEKAT [s],PEKAT GROUP BERHAD,Ace Market,Energy,Renewable Energy,1.330000,1.050-1.900,3,6.370000,1.000000,0.430000,20.870000,0.750000,14.820000,3.090000,939.850000
5029,FAREAST [s],FAR EAST HOLDINGS BHD,Main Market,Plantation,Plantation,4.020000,3.440-4.500,0,40.310000,21.000000,2.720000,9.970000,5.220000,14.820000,1.480000,2387.230000
0299,AGX [s],AGX GROUP BERHAD,Ace Market,Transportation & Logistics,Transportation & Logistics Services,0.490000,0.405-0.625,1,3.400000,0.000000,0.230000,14.430000,0.000000,14.770000,2.130000,212.100000
7131,ACME [s],ACME HOLDINGS BERHAD,Main Market,Property,Property,0.100000,0.090-0.145,200,5.590000,0.000000,0.380000,1.790000,0.000000,14.720000,0.260000,36.750000
6432,APOLLO [s],APOLLO FOOD HOLDINGS BHD,Main Market,Consumer Products & Services,Food & Beverages,5.660000,5.480-6.730,189,42.580000,50.000000,2.920000,13.290000,8.830000,14.580000,1.940000,452.800000
0358,ICTZONE [s],ICT ZONE ASIA BERHAD,Ace Market,Technology,Technology Equipment,0.185000,0.160-0.215,11,2.020000,0.150000,0.140000,9.140000,0.810000,14.460000,1.320000,147.160000
0259,SNS [s],SNS NETWORK TECHNOLOGY BERHAD,Main Market,Technology,Technology Equipment,0.415000,0.350-0.775,40,2.740000,1.000000,0.190000,15.130000,2.410000,14.440000,2.180000,695.440000
5132,DELEUM [s],DELEUM BERHAD,Main Market,Energy,"Energy, Infrastructure, Equipment & Services",1.210000,1.150-1.690,9,17.700000,9.300000,1.240000,6.840000,7.690000,14.280000,0.980000,485.880000
0128,FRONTKN [s],FRONTKEN CORPORATION BERHAD,Main Market,Technology,Semiconductors,3.930000,2.630-4.830,12,9.270000,3.700000,0.650000,42.380000,0.940000,14.270000,6.050000,6535.440000
5983,MBMR [s],MBM RESOURCES BHD,Main Market,Consumer Products & Services,Automotive,4.840000,4.380-5.860,980,86.740000,54.000000,6.080000,5.580000,11.160000,14.270000,0.800000,1891.900000
0286,EMCC,EVERGREEN MAX CASH CAPITAL BERHAD,Ace Market,Financial Services,Other Financials,0.310000,0.265-0.435,12,3.280000,0.650000,0.230000,9.460000,2.100000,14.240000,1.350000,347.390000
5149,TAS [s],TAS OFFSHORE BERHAD,Main Market,Transportation & Logistics,Transportation Equipment,0.450000,0.400-0.680,100,10.380000,2.000000,0.732000,4.340000,4.440000,14.170000,0.610000,81.000000
0346,SALIRAN,SALIRAN GROUP BERHAD,Ace Market,Industrial Products & Services,Industrial Services,0.220000,0.175-0.250,810,2.680000,0.000000,0.190000,8.220000,0.000000,14.090000,1.160000,84.240000
6203,KHEESAN,KHEE SAN BERHAD,Main Market,Consumer Products & Services,Food & Beverages,0.125000,0.080-0.202,16,5.890000,0.000000,0.419000,2.120000,0.000000,14.070000,0.300000,139.890000
0206,NADIBHD [s],GAGASAN NADI CERGAS BERHAD,Ace Market,Construction,Construction,0.400000,0.265-0.460,2,9.800000,2.000000,0.700000,4.080000,5.000000,14.000000,0.570000,301.200000
5908,DKSH,DKSH HOLDINGS(M)BHD,Main Market,Consumer Products & Services,Consumer Services,5.860000,4.480-6.000,160,98.630000,19.000000,7.063000,5.940000,3.240000,13.970000,0.830000,923.880000
6459,MNRB,MNRB HOLDINGS BERHAD,Main Market,Financial Services,Insurance,2.290000,1.660-2.920,5,67.050000,10.000000,4.830000,3.420000,4.370000,13.880000,0.470000,1793.270000
0293,KJTS [s],KJTS GROUP BERHAD,Ace Market,Industrial Products & Services,Industrial Services,0.825000,0.660-1.810,17,2.640000,0.400000,0.190000,31.300000,0.480000,13.870000,4.340000,569.750000
0392,KEEMING [s],KEE MING GROUP BERHAD,Ace Market,Industrial Products & Services,Industrial Services,0.750000,0.600-0.890,5,6.650000,0.000000,0.120000,11.270000,0.000000,13.860000,6.250000,243.750000
0295,MTEC [s],MASTER TEC GROUP BERHAD,Ace Market,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.070000,0.980-1.200,380,2.780000,1.680000,0.201000,38.540000,1.570000,13.830000,5.330000,1091.400000
0037,RGB,RGB INTERNATIONAL BHD,Main Market,Consumer Products & Services,"Travel, Leisure & Hospitality",0.215000,0.195-0.395,5,2.350000,4.000000,0.170000,9.160000,18.600000,13.810000,1.260000,332.870000
03037,AURORA [s],AURORA ITALIA INTERNATIONAL BERHAD,Leap Market,Consumer Products & Services,Personal Goods,0.220000,0.220-0.220,0,1.490000,0.160000,0.108000,14.770000,0.730000,13.790000,2.040000,137.730000
0343,TECHSTORE [s],TECHSTORE BERHAD,Ace Market,Technology,Software,0.245000,0.165-0.345,7,1.970000,0.000000,0.143000,12.430000,0.000000,13.780000,1.710000,122.500000
5827,OIB [s],ORIENTAL INTEREST BERHAD,Main Market,Property,Property,1.210000,1.160-1.500,726,21.770000,6.000000,1.580000,5.560000,4.960000,13.780000,0.770000,734.340000
5310,KITACON [s],KUMPULAN KITACON BERHAD,Main Market,Construction,Construction,0.700000,0.675-0.755,541,10.290000,3.000000,0.750000,6.800000,4.290000,13.720000,0.930000,350.240000
5285,SDG [s],SD GUTHRIE BERHAD,Main Market,Plantation,Plantation,5.920000,4.420-6.010,273,36.190000,18.100000,2.640000,16.360000,3.060000,13.710000,2.240000,40941.030000
7103,SPRITZER [s],SPRITZER BHD,Main Market,Consumer Products & Services,Food & Beverages,2.500000,1.380-3.120,8,14.150000,4.000000,1.033000,17.660000,1.600000,13.700000,2.420000,1602.990000
